0, 1, 0, 1cf4, 1cbc, 0, 1
0, 1, 0, 1dcc, 1cf4, 0, 1
1, 1, 0, 1cf4, 1cbc, 0, 0
1, 1, 0, 1dcc, 1cf4, 1, 0
1, 1, 0, 1cf4, 1cbc, 0, 0
1, 1, 0, 1dcc, 1cf4, 1, 0
1, 1, 0, 1cf4, 1cbc, 0, 0
1, 1, 0, 1dcc, 1cf4, 1, 0
1, 1, 0, 1cf4, 1cbc, 0, 0
1, 1, 0, 1dcc, 1cf4, 1, 0
1, 1, 0, 1cf4, 1cbc, 0, 0
1, 1, 0, 1dcc, 1cf4, 1, 0
1, 1, 0, 1cf4, 1cbc, 0, 0
1, 1, 0, 1dcc, 1cf4, 1, 0
1, 1, 0, 1cf4, 1cbc, 0, 0
1, 1, 0, 1dcc, 1cf4, 1, 0
1, 1, 0, 1cf4, 1cbc, 0, 0
1, 1, 0, 1dcc, 1cf4, 1, 0
1, 1, 0, 1cf4, 1cbc, 0, 0
1, 1, 0, 1dcc, 1cf4, 1, 0
1, 1, 0, 1cf4, 1cbc, 0, 0
1, 1, 0, 1dcc, 1cf4, 1, 0
1, 1, 0, 1cf4, 1cbc, 0, 0
1, 1, 0, 1dcc, 1cf4, 1, 0
1, 1, 0, 1cf4, 1cbc, 0, 0
1, 1, 0, 1dcc, 1cf4, 1, 0
1, 1, 0, 1cf4, 1cbc, 0, 0
1, 1, 0, 1dcc, 1cf4, 1, 0
1, 1, 0, 1cf4, 1cbc, 0, 0
1, 1, 0, 1dcc, 1cf4, 1, 0
1, 1, 0, 1cf4, 1cbc, 0, 0
1, 1, 0, 1dcc, 1cf4, 1, 0
1, 1, 0, 1cf4, 1cbc, 0, 0
1, 1, 0, 1dcc, 1cf4, 1, 0
1, 1, 0, 1cf4, 1cbc, 0, 0
1, 1, 0, 1dcc, 1cf4, 1, 0
1, 1, 0, 1cf4, 1cbc, 0, 0
1, 1, 0, 1dcc, 1cf4, 1, 0
1, 1, 0, 1cf4, 1cbc, 0, 0
1, 1, 0, 1dcc, 1cf4, 1, 0
1, 1, 0, 1cf4, 1cbc, 0, 0
1, 1, 0, 1dcc, 1cf4, 1, 0
1, 1, 0, 1cf4, 1cbc, 0, 0
1, 1, 0, 1dcc, 1cf4, 1, 0
1, 1, 0, 1cf4, 1cbc, 0, 0
1, 1, 0, 1dcc, 1cf4, 1, 0
1, 1, 0, 1cf4, 1cbc, 0, 0
1, 1, 0, 1dcc, 1cf4, 1, 0
1, 0, 0, 1cf4, 1cf4, 0, 0
0, 1, 0, 0678, 02d8, 0, 1
0, 1, 0, 031c, 02ec, 0, 1
0, 1, 0, 0380, 03ac, 0, 1
1, 1, 0, 0380, 03ac, 3, 0
1, 0, 0, 0380, 03ac, 3, 0
0, 1, 0, 0f70, 0f14, 0, 1
1, 1, 0, 0f70, 0f14, 2, 0
1, 1, 0, 0f70, 0f14, 2, 0
1, 1, 0, 0f70, 0f14, 2, 0
1, 1, 0, 0f70, 0f14, 2, 0
1, 1, 0, 0f70, 0f14, 2, 0
1, 1, 0, 0f70, 0f14, 2, 0
1, 1, 0, 0f70, 0f14, 2, 0
1, 1, 0, 0f70, 0f14, 2, 0
1, 1, 0, 0f70, 0f14, 2, 0
1, 1, 0, 0f70, 0f14, 2, 0
1, 1, 0, 0f70, 0f14, 2, 0
1, 1, 0, 0f70, 0f14, 2, 0
1, 1, 0, 0f70, 0f14, 2, 0
1, 1, 0, 0f70, 0f14, 2, 0
1, 1, 0, 0f70, 0f14, 2, 0
